"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty"
"488","NEON.PLA.D19.DEJU.00763","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",14.8,148,"noChange",7.6,1.9,1.4,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084368.29562051,561217.505868722,0.7,63.8811494343374,-145.753650461554,"506.65",1.1
"570","NEON.PLA.D19.DEJU.01526","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",13.5,136,"noChange",7.6,1.8,1.6,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084394.40526044,560718.076821601,0.7,63.8814708680623,-145.763805361421,"511.61",1.1
"748","NEON.PLA.D19.DEJU.02712","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Live",12.5,135,"noChange",7.6,2.3,1.9,"Partially shaded",NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084023.37324517,560843.917670417,0.7,63.8781200425123,-145.761390620757,"514.55",1.1
"824","NEON.PLA.D19.DEJU.02948","DEJU_046.basePlot.vst","DEJU_046",2021-08-25,"single bole tree","Live",16.6,137,"noChange",7.6,2.7,2.3,"Full sun",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7083983.19220675,561224.897822641,0.7,63.8776929720965,-145.753653123304,"511.66",1.1
"1020","NEON.PLA.D19.DEJU.05096","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",10,130,"noChange",NA,1.2,1.2,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084492.20790756,561918.483204941,0.77,63.8821376147375,-145.739333311109,"505.16",1.18
"12","NEON.PLA.D19.DEJU.00013","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",16.6,129,"noChange",7.5,2,1.7,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084035.42003972,561075.211867933,0.7,63.8781877653537,-145.756678682637,"512.28",1.1
"125","NEON.PLA.D19.DEJU.00205","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",14.5,130,"noChange",NA,2.9,1.9,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084491.51256258,561903.311068532,0.71,63.8821340654938,-145.739642406943,"505.29",1.17
"602","NEON.PLA.D19.DEJU.01791","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",14.3,134,"noChange",7.5,2.3,2.1,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084395.64359283,560703.979456527,0.72,63.8814844288608,-145.764091809212,"511.89",1.15
"605","NEON.PLA.D19.DEJU.01794","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",14.2,136,"branchGrowth",7.5,1.7,1.6,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084390.69953164,560705.185150036,0.72,63.8814398607899,-145.764069218018,"511.89",1.15
"773","NEON.PLA.D19.DEJU.02738","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Live",13.3,130,"noChange",7.5,2,1.9,"Partially shaded",NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084036.42125382,560850.548714706,0.7,63.878235955231,-145.761250513949,"514.11",1.1
"994","NEON.PLA.D19.DEJU.05038","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",10.6,130,"noChange",7.5,1.5,1.3,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084403.35630064,560709.060699864,0.7,63.8815527447561,-145.763985344972,"511.61",1.11
"141","NEON.PLA.D19.DEJU.00219","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",10.9,140,"noChange",NA,2,1.5,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084501.04185069,561920.662705651,0.84,63.8822164864538,-145.739285396182,"505.19",1.29
"158","NEON.PLA.D19.DEJU.00232","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",11.8,135,"noChange",7.4,1.8,1.8,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084490.22107935,561914.925817013,0.77,63.8821204195574,-145.739406517806,"505.16",1.18
"177","NEON.PLA.D19.DEJU.00247","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",11.5,130,"noChange",NA,2,1.3,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084496.79047527,561907.424436718,0.75,63.8821806898481,-145.739556560444,"504.95",1.11
"897","NEON.PLA.D19.DEJU.04525","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",10.1,130,"noChange",7.4,1.3,1.2,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084483.26724413,561913.112720308,0.77,63.8820583511714,-145.739446218325,"505.16",1.18
"975","NEON.PLA.D19.DEJU.05018","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"single bole tree","Live",10.3,130,"noChange",NA,1.7,1.7,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084502.36753401,561935.095451201,0.7,63.8822258214415,-145.738991095552,"504.82",1.1
"83","NEON.PLA.D19.DEJU.00125","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",12.5,137,"noChange",7.3,1.9,1.6,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084053.63103331,561082.724167987,0.7,63.878349841987,-145.756518573401,"511.87",1.1
"88","NEON.PLA.D19.DEJU.00130","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",12.5,130,"noChange",7.3,1.8,1.2,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084050.82506597,561069.717147984,0.7,63.8783269408206,-145.756784399293,"512.32",1.1
"124","NEON.PLA.D19.DEJU.00204","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",10.6,140,"noChange",NA,2.3,1.7,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084490.80591878,561903.368200308,0.71,63.8821277153615,-145.739641528204,"505.29",1.17
"176","NEON.PLA.D19.DEJU.00246","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",11.6,131,"noChange",NA,2.1,1.6,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084496.04292936,561906.679685394,0.75,63.8821741148737,-145.739572019857,"504.95",1.11
"229","NEON.PLA.D19.DEJU.00301","DEJU_045.basePlot.vst","DEJU_045",2021-08-23,"single bole tree","Live",14.6,130,"noChange",7.3,2.3,1.8,"Open grown",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084330.09166039,561745.884934181,0.7,63.8807136618385,-145.742911424747,"509.31",1.1
"252","NEON.PLA.D19.DEJU.00326","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"single bole tree","Live",12.8,132,"noChange",NA,1.7,1.6,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084485.88418054,561922.189889932,0.77,63.8820802211404,-145.739260408069,"505.16",1.18
"441","NEON.PLA.D19.DEJU.00713","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",18.4,140,"noChange",7.3,3.2,2.7,"Partially shaded",NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084421.34324813,560727.367414886,0.7,63.8817109426606,-145.763605636702,"511.36",1.1
"568","NEON.PLA.D19.DEJU.01524","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",13,139,"noChange",7.3,1.9,1.9,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084390.41160704,560719.560677519,0.7,63.8814347787269,-145.763776734201,"511.61",1.1
"798","NEON.PLA.D19.DEJU.02759","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Live",11.8,135,"noChange",7.3,1.8,1.5,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084018.97351312,560843.288240153,0.7,63.8780806774067,-145.761405168781,"514.55",1.1
"146","NEON.PLA.D19.DEJU.00222","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",13.1,135,"noChange",NA,2.4,1.7,"Mostly shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084496.70575495,561921.214587939,0.84,63.882177485177,-145.739275907038,"505.19",1.29
"260","NEON.PLA.D19.DEJU.00334","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"single bole tree","Live",10.4,135,"noChange",NA,1.8,1.7,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084489.23039995,561932.33069489,0.77,63.8821084453923,-145.739052654772,"505.16",1.18
"440","NEON.PLA.D19.DEJU.00712","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",10.4,140,"noChange",7.2,2.1,1.3,"Mostly shaded",NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084420.43505827,560722.702004967,0.7,63.8817036054371,-145.763700954872,"511.36",1.1
"475","NEON.PLA.D19.DEJU.00749","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",12.4,140,"noChange",7.2,1.5,1.5,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084369.6185113,561223.944116839,0.7,63.8811601749115,-145.753518894227,"506.65",1.1
"561","NEON.PLA.D19.DEJU.00999","DEJU_062.basePlot.vst","DEJU_062",2021-08-26,"single bole tree","Live",15.9,120,"noChange",NA,2.8,2.4,"Partially shaded",NA,"23","PICEA","Picea sp.","6N",7084258.06907441,561233.788651702,0.7,63.8801576224562,-145.753362884869,"507.75",1.1
"799","NEON.PLA.D19.DEJU.02760","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Live",11.6,130,"noChange",7.2,2.2,1.7,"Mostly shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084020.34360382,560845.170734435,0.7,63.878092642085,-145.761366316078,"514.55",1.1
"156","NEON.PLA.D19.DEJU.00230","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",13.5,136,"noChange",NA,2.4,1.5,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084490.85396226,561914.564655735,0.77,63.8821261618037,-145.73941361442,"505.16",1.18
"257","NEON.PLA.D19.DEJU.00331","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"single bole tree","Live",12.4,130,"noChange",NA,4.1,2.3,"Partially shaded",NA,"23","POTR5","Populus tremuloides Michx.","6N",7084489.7733255,561924.003461233,0.77,63.8821147930008,-145.739221930125,"505.16",1.18
"272","NEON.PLA.D19.DEJU.00345","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"single bole tree","Live",12.4,140,"noChange",NA,4,3,"Partially shaded",NA,"23","POTR5","Populus tremuloides Michx.","6N",7084500.23110688,561922.928545911,0.84,63.882208810752,-145.739239602855,"505.19",1.29
"285","NEON.PLA.D19.DEJU.00356","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"single bole tree","Live",12.1,133,"noChange",NA,2.5,1.9,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084497.1468726,561934.820208821,0.84,63.8821790305,-145.738998798128,"505.19",1.29
"323","NEON.PLA.D19.DEJU.00394","DEJU_049.basePlot.vst","DEJU_049",2021-08-25,"single bole tree","Live",15.6,124,"noChange",7.1,2.4,2.3,"Full sun",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084345.68497511,561932.281908664,0.7,63.8808205649902,-145.739111389172,"507.58",1.1
"473","NEON.PLA.D19.DEJU.00747","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",12.4,140,"noChange",NA,1.3,1.2,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084370.85655081,561224.772744282,0.7,63.8811711374131,-145.753501536397,"506.78",1.1
"576","NEON.PLA.D19.DEJU.01532","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",10.4,137,"noChange",NA,1.4,1.2,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084397.1666254,560717.310491134,0.7,63.881495776469,-145.763819870239,"511.36",1.1
"596","NEON.PLA.D19.DEJU.01785","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",12.4,130,"noChange",7.1,1.9,1.2,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084400.9350365,560703.596799023,0.72,63.8815319706315,-145.764097511505,"511.89",1.15
"777","NEON.PLA.D19.DEJU.02742","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Live",12.3,133,"noChange",7.1,2.9,1.4,"Mostly shaded",NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084026.79367175,560853.944216219,0.7,63.878148984343,-145.761185214646,"515.06",1.1
"1065","NEON.PLA.D19.DEJU.05202","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",10,136,"noChange",7.1,2,1.8,"Full sun",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084374.11617208,561215.921609759,0.7,63.881201934262,-145.753680392677,"506.65",1.1
"1066","NEON.PLA.D19.DEJU.05202","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",10,136,"noChange",7.1,2,1.8,"Full sun",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084374.11617208,561215.921609759,0.7,63.881201934262,-145.753680392677,"506.65",1.1
"84","NEON.PLA.D19.DEJU.00126","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",16.8,131,"noChange",7,2.9,2.3,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084050.90882659,561080.551477389,0.7,63.8783257980905,-145.756563870731,"511.87",1.1
"160","NEON.PLA.D19.DEJU.00233","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",10.4,138,"noChange",NA,1.7,1.3,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084489.52898706,561916.356810178,0.77,63.8821139564327,-145.739377669486,"505.16",1.18
"172","NEON.PLA.D19.DEJU.00243","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",10.9,130,"noChange",NA,1.9,1.2,"Full sun",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084488.41346362,561908.177472483,0.71,63.8821053978469,-145.739544601541,"505.29",1.17
"263","NEON.PLA.D19.DEJU.00337","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"single bole tree","Live",10.9,136,"noChange",NA,2.2,2,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084496.49475651,561933.647281041,0.7,63.8821733877076,-145.739022934465,"504.82",1.1
"266","NEON.PLA.D19.DEJU.00340","DEJU_047.basePlot.vst","DEJU_047",2021-08-25,"multi-bole tree","Live",10.6,137,"noChange",NA,2.2,1.8,"Partially shaded",NA,"23","PIGL","Picea glauca (Moench) Voss","6N",7084493.77144871,561922.885605418,0.77,63.8821508623367,-145.739243075037,"505.16",1.18
"378","NEON.PLA.D19.DEJU.00494","DEJU_052.basePlot.vst","DEJU_052",2021-08-23,"single bole tree","Live",12,134,"noChange",7,2.5,2.1,"Full sun",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084465.68937972,561769.591438535,0.7,63.8819260541588,-145.74237452191,"507.57",1.1
"438","NEON.PLA.D19.DEJU.00710","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",12.1,130,"noChange",NA,2.5,2.1,"Partially shaded",NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084420.60055036,560728.925420844,0.7,63.8817040082279,-145.763574217929,"511.36",1.1
"487","NEON.PLA.D19.DEJU.00762","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",10.4,140,"noChange",NA,1.4,0.9,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084369.14359029,561217.574902505,0.7,63.8811570302627,-145.753648719318,"506.65",1.1
"498","NEON.PLA.D19.DEJU.00775","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"multi-bole tree","Live",11.5,130,"noChange",7,1.8,1.8,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084373.65374775,561231.304698562,0.7,63.8811950889666,-145.753367475339,"506.78",1.1
"548","NEON.PLA.D19.DEJU.00839","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",11.7,130,"noChange",7,1.7,0.8,"Partially shaded",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084383.83381254,561217.92819644,0.7,63.8812887697025,-145.753635687625,"506.65",1.1
