"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty"
"531","NEON.PLA.D19.DEJU.00821","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live",10.6,130,"noChange",5.2,1.8,1.8,"Full sun",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084392.26162411,561218.010335315,0.7,63.8813643700241,-145.753630664828,"506.24",1.1
"585","NEON.PLA.D19.DEJU.01544","DEJU_053.basePlot.vst","DEJU_053",2021-08-26,"single bole tree","Live",15.9,133,"noChange",5.2,2,1.9,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084410.16557768,560719.265282697,0.7,63.8816120642988,-145.763774956141,"511.36",1.1
"825","NEON.PLA.D19.DEJU.02950","DEJU_046.basePlot.vst","DEJU_046",2021-08-25,"single bole tree","Live",12.3,132,"noChange",5.2,2.1,2.1,"Full sun",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7083985.46157337,561225.242154838,0.7,63.877713272622,-145.753645213612,"511.66",1.1
"123","NEON.PLA.D19.DEJU.00203","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",10,137,"noChange",5.1,1.8,1.4,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084486.13398689,561902.689546219,0.71,63.8820859190812,-145.739657220131,"505.29",1.17
"181","NEON.PLA.D19.DEJU.00252","DEJU_047.basePlot.vst","DEJU_047",2021-08-24,"single bole tree","Live",11.2,135,"noChange",5.1,2.5,2,"Partially shaded",NA,"21","PIGL","Picea glauca (Moench) Voss","6N",7084493.39216507,561912.105728369,0.84,63.8821493704343,-145.739462643104,"505.19",1.29
"489","NEON.PLA.D19.DEJU.00764","DEJU_048.basePlot.vst","DEJU_048",2021-08-25,"single bole tree","Live,  other damage",16.6,130,"noChange",5.1,2.5,1.9,"Partially shaded",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084362.97871066,561214.836545349,0.8,63.8811021986027,-145.753706905705,"506.96",1.1
"795","NEON.PLA.D19.DEJU.02756","DEJU_054.basePlot.vst","DEJU_054",2021-08-25,"single bole tree","Live",13.8,128,"branchGrowth",5,4.8,4.3,"Partially shaded",NA,"23","POTR5","Populus tremuloides Michx.","6N",7084014.19982709,560848.00521884,0.7,63.8780370259372,-145.761311057742,"515.22",1.1
"910","NEON.PLA.D19.DEJU.04683","DEJU_046.basePlot.vst","DEJU_046",2021-08-25,"single bole tree","Live",10,130,"noChange",5,2,2,"Full sun",NA,"21","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7083980.32946661,561215.123456399,0.7,63.8776690003646,-145.753853179932,"512.33",1.1
"956","NEON.PLA.D19.DEJU.05001","DEJU_045.basePlot.vst","DEJU_045",2021-08-23,"single bole tree","Live",10.4,130,"noChange",5,1.5,1.3,"Partially shaded",NA,"23","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084344.21879269,561754.930594112,0.7,63.8808388114463,-145.742721650864,"509.05",1.1
"80","NEON.PLA.D19.DEJU.00122","DEJU_051.basePlot.vst","DEJU_051",2021-08-24,"single bole tree","Live",10.3,131,"noChange",4.9,2.8,2.2,"Full sun",NA,"39","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084068.68732066,561080.744653056,0.7,63.8784852740319,-145.756552887919,"511.87",1.1
