"","individualID","namedLocation","plotID","date.x","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","basalStemDiameter","subplotID","taxonID","scientificName","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty","easting10","northing10"
"1388","NEON.PLA.D19.HEAL.03714","HEAL_025.basePlot.vst","HEAL_025",2021-09-01,"single bole tree","Live",10.2,130,"noChange",5.8,2.4,2.4,"Partially shaded",NA,"31","PIGL","Picea glauca (Moench) Voss","6N",7084884.55250595,387602.439448038,0.7,63.8730629630329,-149.28794703105,"639.41",1.1,387600,7084880
"1328","NEON.PLA.D19.HEAL.03563","HEAL_020.basePlot.vst","HEAL_020",2021-09-15,"single bole tree","Live",10.6,130,"noChange",5.6,1.6,1.6,"Partially shaded",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7084694.64002548,388419.730833331,0.7,63.8716219262678,-149.271188648167,"655.42",1.1,388410,7084690
"1049","NEON.PLA.D19.HEAL.02851","HEAL_017.basePlot.vst","HEAL_017",2021-09-01,"single bole tree","Live",11.4,122,"noChange",5.2,2.4,2.1,"Full sun",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7084107.73133309,388930.639909153,0.76,63.866521758159,-149.260376039652,"677.8",1.25,388930,7084100
"216","NEON.PLA.D19.HEAL.01321","HEAL_014.basePlot.vst","HEAL_014",2021-08-31,"single bole tree","Live",12.7,123,"noChange",4.8,2.4,2.4,"Full sun",NA,"31","PIGL","Picea glauca (Moench) Voss","6N",7086379.20217858,388351.213514513,0.7,63.8867056948106,-149.273803250065,"670.69",1.16,388350,7086370
"217","NEON.PLA.D19.HEAL.01321","HEAL_014.basePlot.vst","HEAL_014",2021-08-31,"single bole tree","Live",12.7,123,"noChange",4.8,2.4,2.4,"Full sun",NA,"31","PIGL","Picea glauca (Moench) Voss","6N",7086379.15456349,388351.016029775,0.7,63.8867052047044,-149.273807233622,"670.69",1.16,388350,7086370
"635","NEON.PLA.D19.HEAL.02272","HEAL_015.basePlot.vst","HEAL_015",2021-08-31,"small tree","Live",6.7,130,"noChange",4.1,1.5,1.5,"Full sun",NA,"32","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7087102.20496651,391542.957230783,0.7,63.8941950716766,-149.209369902425,"590.72",1.15,391540,7087100
"636","NEON.PLA.D19.HEAL.02272","HEAL_015.basePlot.vst","HEAL_015",2021-08-31,"small tree","Live",6.7,130,"noChange",4.1,1.5,1.5,"Full sun",NA,"32","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7087101.91814182,391543.124287385,0.7,63.8941925514811,-149.209366300134,"590.72",1.15,391540,7087100
"571","NEON.PLA.D19.HEAL.02207","HEAL_015.basePlot.vst","HEAL_015",2021-08-31,"small tree","Live",4.3,130,"noChange",3.9,1.8,1.7,"Partially shaded",NA,"31","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7087103.80502907,391525.399577442,0.7,63.8942039651202,-149.209728376103,"591.77",1.14,391520,7087100
"233","NEON.PLA.D19.HEAL.01501","HEAL_022.basePlot.vst","HEAL_022",2021-08-31,"small tree","Live",4.8,128,"noChange",3.4,1.1,1,"Full sun",NA,"32","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7086350.47435532,391367.249220805,0.7,63.887399321811,-149.212415264842,"630.42",1.16,391360,7086350
"498","NEON.PLA.D19.HEAL.02115","HEAL_016.basePlot.vst","HEAL_016",2021-08-30,"small tree","Live",3.5,130,"noChange",3.2,1.3,0.8,"Partially shaded",NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7085223.31207676,391816.191313007,0.72,63.8774308235727,-149.202488242848,"651.92",1.18,391810,7085220
"525","NEON.PLA.D19.HEAL.02136","HEAL_016.basePlot.vst","HEAL_016",2021-08-30,"small tree","Live",2.6,131,"noChange",2.7,0.6,0.5,"Partially shaded",NA,"32","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7085214.35758087,391815.407183889,0.7,63.8773502809246,-149.202497903006,"652.34",1.14,391810,7085210
"828","NEON.PLA.D19.HEAL.02624","HEAL_001.basePlot.vst","HEAL_001",2021-09-02,"single shrub","Live",1.4,130,"noChange",2.5,2.5,2.4,"Full sun",3,"32","ALVI5","Alnus viridis (Chaix) DC.","6N",7086438.37026715,391753.926908784,0.7,63.8883076042117,-149.204609040458,"601.93",1.15,391750,7086430
"515","NEON.PLA.D19.HEAL.02126","HEAL_016.basePlot.vst","HEAL_016",2021-08-30,"small tree","Live",3.1,130,"noChange",2.2,1.2,0.9,"Full sun",NA,"32","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7085205.18703133,391815.225747806,0.7,63.8772679874352,-149.202495152264,"653.7",1.16,391810,7085200
"221","NEON.PLA.D19.HEAL.01358","HEAL_010.basePlot.vst","HEAL_010",2021-09-13,"small tree","Live",2.2,130,"noChange",1.8,1,0.8,"Partially shaded",NA,"40","PIGL","Picea glauca (Moench) Voss","6N",7085315.91095901,388796.948014763,0.7,63.8773132119503,-149.263966156516,"656.31",1.14,388790,7085310
"1390","NEON.PLA.D19.HEAL.03716","HEAL_024.basePlot.vst","HEAL_024",2021-09-01,"small tree","Live",1.8,130,"noChange",1.8,0.8,0.7,"Partially shaded",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7085775.9983328,387675.251856192,0.7,63.881079994819,-149.28711637729,"632.64",1.2,387670,7085770
"1394","NEON.PLA.D19.HEAL.03720","HEAL_024.basePlot.vst","HEAL_024",2021-09-01,"small tree","Live",1.4,130,"noChange",1.7,0.6,0.5,"Full sun",NA,"32","PIGL","Picea glauca (Moench) Voss","6N",7085775.79118588,387675.679532391,0.7,63.8810782748523,-149.287107526345,"632.64",1.2,387670,7085770
"1240","NEON.PLA.D19.HEAL.03501","HEAL_018.basePlot.vst","HEAL_018",2021-08-30,"sapling","Live",NA,NA,"noChange",1.6,NA,NA,"Full sun",3.6,"31","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7083649.14073056,389458.80521243,0.74,63.8625768846728,-149.249308539782,"702.19",1.26,389450,7083640
"87","NEON.PLA.D19.HEAL.01057","HEAL_055.basePlot.vst","HEAL_055",2021-09-14,NA,"No longer qualifies",NA,NA,"noChange",NA,NA,NA,NA,NA,"40","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084861.71378989,390819.832632705,0.7,63.8738782679129,-149.222498294855,"686.02",1.1,390810,7084860
"499","NEON.PLA.D19.HEAL.02115","HEAL_016.basePlot.vst","HEAL_016",2021-08-30,"small tree","Live",3.6,130,"noChange",NA,NA,NA,NA,NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7085223.31207676,391816.191313007,0.72,63.8774308235727,-149.202488242848,"651.92",1.18,391810,7085220
"505","NEON.PLA.D19.HEAL.02118","HEAL_016.basePlot.vst","HEAL_016",2021-08-30,NA,"Lost, fate unknown",NA,NA,"noChange",NA,NA,NA,NA,NA,"31","SAPU15","Salix pulchra Cham.","6N",7085204.68052894,391796.745034932,0.7,63.8772577221269,-149.202870703882,"652.34",1.14,391790,7085200
"574","NEON.PLA.D19.HEAL.02210","HEAL_015.basePlot.vst","HEAL_015",2021-08-31,NA,"No longer qualifies",NA,NA,"noChange",NA,NA,NA,NA,NA,"31","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7087103.33090753,391525.921746173,0.7,63.8941998756935,-149.209717414211,"591.77",1.14,391520,7087100
"575","NEON.PLA.D19.HEAL.02211","HEAL_015.basePlot.vst","HEAL_015",2021-08-31,NA,"No longer qualifies",NA,NA,"noChange",NA,NA,NA,NA,NA,"31","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7087103.45151059,391525.682981046,0.7,63.8942008830099,-149.209722358773,"591.77",1.14,391520,7087100
"576","NEON.PLA.D19.HEAL.02212","HEAL_015.basePlot.vst","HEAL_015",2021-08-31,NA,"No longer qualifies",NA,NA,"noChange",NA,NA,NA,NA,NA,"31","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7087103.66004946,391526.959721138,0.7,63.8942031497842,-149.209696520748,"591.06",1.14,391520,7087100
"578","NEON.PLA.D19.HEAL.02214","HEAL_015.basePlot.vst","HEAL_015",2021-08-31,NA,"No longer qualifies",NA,NA,"noChange",NA,NA,NA,NA,NA,"31","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7087109.80937848,391532.232171253,0.7,63.8942599319659,-149.209593548561,"591.06",1.14,391530,7087100
"826","NEON.PLA.D19.HEAL.02624","HEAL_001.basePlot.vst","HEAL_001",2021-09-02,"single shrub","Live",1.4,130,"noChange",NA,NA,NA,NA,2.8,"32","ALVI5","Alnus viridis (Chaix) DC.","6N",7086438.37026715,391753.926908784,0.7,63.8883076042117,-149.204609040458,"601.93",1.15,391750,7086430
"827","NEON.PLA.D19.HEAL.02624","HEAL_001.basePlot.vst","HEAL_001",2021-09-02,"single shrub","Live",1.7,130,"noChange",NA,NA,NA,NA,3,"32","ALVI5","Alnus viridis (Chaix) DC.","6N",7086438.37026715,391753.926908784,0.7,63.8883076042117,-149.204609040458,"601.93",1.15,391750,7086430
"829","NEON.PLA.D19.HEAL.02624","HEAL_001.basePlot.vst","HEAL_001",2021-09-02,"single shrub","Live",1.2,130,"noChange",NA,NA,NA,NA,2.3,"32","ALVI5","Alnus viridis (Chaix) DC.","6N",7086438.37026715,391753.926908784,0.7,63.8883076042117,-149.204609040458,"601.93",1.15,391750,7086430
"830","NEON.PLA.D19.HEAL.02624","HEAL_001.basePlot.vst","HEAL_001",2021-09-02,"single shrub","Live",1.1,130,"noChange",NA,NA,NA,NA,2.9,"32","ALVI5","Alnus viridis (Chaix) DC.","6N",7086438.37026715,391753.926908784,0.7,63.8883076042117,-149.204609040458,"601.93",1.15,391750,7086430
"831","NEON.PLA.D19.HEAL.02624","HEAL_001.basePlot.vst","HEAL_001",2021-09-02,"single shrub","Live",1.2,130,"noChange",NA,NA,NA,NA,3,"32","ALVI5","Alnus viridis (Chaix) DC.","6N",7086438.37026715,391753.926908784,0.7,63.8883076042117,-149.204609040458,"601.93",1.15,391750,7086430
"832","NEON.PLA.D19.HEAL.02624","HEAL_001.basePlot.vst","HEAL_001",2021-09-02,"single shrub","Live",1.3,130,"noChange",NA,NA,NA,NA,2.8,"32","ALVI5","Alnus viridis (Chaix) DC.","6N",7086438.37026715,391753.926908784,0.7,63.8883076042117,-149.204609040458,"601.93",1.15,391750,7086430
"833","NEON.PLA.D19.HEAL.02624","HEAL_001.basePlot.vst","HEAL_001",2021-09-02,"single shrub","Live",1.4,130,"noChange",NA,NA,NA,NA,3,"32","ALVI5","Alnus viridis (Chaix) DC.","6N",7086438.37026715,391753.926908784,0.7,63.8883076042117,-149.204609040458,"601.93",1.15,391750,7086430
"834","NEON.PLA.D19.HEAL.02624","HEAL_001.basePlot.vst","HEAL_001",2021-09-02,"single shrub","Live",1,130,"noChange",NA,NA,NA,NA,3.3,"32","ALVI5","Alnus viridis (Chaix) DC.","6N",7086438.37026715,391753.926908784,0.7,63.8883076042117,-149.204609040458,"601.93",1.15,391750,7086430
"1472","NEON.PLA.D19.HEAL.04008","HEAL_055.basePlot.vst","HEAL_055",2021-09-14,NA,"No longer qualifies",NA,NA,"noChange",NA,NA,NA,NA,NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084861.80136679,390819.690660716,0.7,63.8738790088914,-149.222501244316,"686.02",1.1,390810,7084860
"1473","NEON.PLA.D19.HEAL.04009","HEAL_055.basePlot.vst","HEAL_055",2021-09-14,NA,"No longer qualifies",NA,NA,"noChange",NA,NA,NA,NA,NA,"41","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","6N",7084862.06717261,390819.383109508,0.7,63.8738812963874,-149.222507687598,"686.02",1.1,390810,7084860
